Name,Type,Description
Academics,Academic,Issues related to curriculum, grading, and teaching quality
Student Life,Social,Issues related to housing, dining, and campus events
Facilities,Facilities,Issues related to maintenance, parking, and safety
Administration,Administrative,Issues related to registration, financial aid, and policies
Technology,Technology,Issues related to Wi-Fi, lab equipment, and IT support
Research,Academic,Issues related to grants, labs, and opportunities
Health & Wellness,Social,Issues related to mental health and medical services
Career Services,Administrative,Issues related to internships and job placement
Diversity & Inclusion,Social,Issues related to equity and support
Alumni Relations,Administrative,Issues related to alumni events and community
